漢字,臺灣台語羅馬字
三十六萬幾,sann-tsa̍p-la̍k-bān-kuí
三十七萬幾,sann-tsa̍p-tshit-bān-kuí
三十八萬幾,sann-tsa̍p-peh-bān-kuí
三十八萬幾,sann-tsa̍p-pueh-bān-kuí
三十九萬幾,sann-tsa̍p-káu-bān-kuí
四十萬幾,sì-tsa̍p-bān-kuí
四十一萬幾,sì-tsa̍p-it-bān-kuí
四十二萬幾,sì-tsa̍p-jī-bān-kuí
四十二萬幾,sì-tsa̍p-lī-bān-kuí
四十三萬幾,sì-tsa̍p-sann-bān-kuí
四十四萬幾,sì-tsa̍p-sì-bān-kuí
四十五萬幾,sì-tsa̍p-gōo-bān-kuí
四十六萬幾,sì-tsa̍p-la̍k-bān-kuí
四十七萬幾,sì-tsa̍p-tshit-bān-kuí
四十八萬幾,sì-tsa̍p-peh-bān-kuí
四十八萬幾,sì-tsa̍p-pueh-bān-kuí
四十九萬幾,sì-tsa̍p-káu-bān-kuí
五十萬幾,gōo-tsa̍p-bān-kuí
五十一萬幾,gōo-tsa̍p-it-bān-kuí
五十二萬幾,gōo-tsa̍p-jī-bān-kuí
